Title,Summary,Contents,Photo,Section,Themes,Times,Place,Referenced articles,Related articles,Author,(Source),Publication date,Link,,,,,,,,,,,,,,
Despacho n.º 117/P/2020,Designação do Júri de avaliação das candidaturas apresentadas ao Concurso Fazer Acontecer - 2.ª edição,"Considerando que: - Em cumprimento da Proposta n.º 345/2019, aprovada em Reunião de Càmara Municiap de Lisboa de 25 de julho, publicada no Boletim Municipal n.º 1328-3.º Suplemento, de 1 de agosto, contendo as Normas do Concurso «Fazer Acontecer», para apoio a projetos de Promoção do Sucesso Educativo, no âmbito do Programa Secundário para Todos, foi publicado o Despacho n.º 105/P/2019, no Boletim Municipal n.º 1334-2.º Suplemento, de 12 de setembro, o qual veio concretizar as Norams de Candidatura ali previstas; - Nos termos da proposta, a avaliação das candidaturas cabe ao Júri que vier a ser designado para o efeito, havendo manifesto interesse que a definição dos respetivos elementos, efetivos e suplentas, ocorra sem demoras. Assim, ao abrigo da delegação e subdelegação de competências do Presidente da Câmara no Verados da Educação, nos termos do Despacho n.º 99/P/2017, republicado e com a redação conferida pelo Despacho n.º 120/P/2019, publicado no. 5.º Suplemento ao Boletim Municipal n.º 1342, de 7 de novembro, determino que o Júri de avaliação das candidaturas apresentadas ao Concurso Fazer Acontecer - 2.ª edição, terá a seguinte composição: Elementos efetivos: - Teresa Batista, técnica superior, do Departaento de Educação da CML; Ana Cristina Gonçalves, técnica superior, do Departamento de Educação da CML; - Sandra Neves, técnica superior, do Departamento de Educação da CML; - Luísa Távora, técnica superior, do Departamento para os Direitos Sociais da CML; - Franciso Pena, técnico superior, do Departamento para os Direitos Sociais da CML. Elementos suplentes: - Rui Arrifano, técnico superior, do Departamento de Educação da CML; - Gisela Bandeira, técnica superior, do Departamento para os Direitos Sociais da CML. A decisão final que incidir sobre os pedidos, por homologação da proposta que vier a ser apresentada pelo Júri, cabe à Câmara Municipal e terá lugar no uso e ao abrigo da competência prevista na alínea u) do n.º 1 do artigo 33.º do Regime Jurídico das Autarquias Locais, aprovado e publicado como Anexo I à Lei n.º 75/2013, de 12 de stembro, na sua redação atual. Paços do COncelho de Lisboa, em 2020/10/19. O verados, (a) Manuel Grilo ",,,Presidência da Câmara,10/19/2020,Lisboa,Proposa n.º 345/2019 (BM n.º 1328 . 3.º suplemento); Despacho n.º 105/P/2019 (BM n.º 1334-2.º Suplmeento); Despcho n.º 99/P/2017 (BM n.º 1342); Despacho n.º 120P/2019 (BM n.º 1342); Lei n.º 75/2013,,Manuel Grilo,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Regressos de licenças sem remuneração,N/A,"DMM - Em 2020/09/01, Manuel João Rebelo de Carvalho, foi autorizado o regresso de licença sem remuneração - Por despacho de 10 de julho de 2020 do Senhor Vice-presidente, Eng.º João Paulo Saraiva na carrera/ /categoria de Fiscal, com a remuneração mensal ilíguida de 1015,72 euros, correspondente ao posicionamento entre a 4.ª e 5.ª posição remuneratoria da categoria de Fiscal e entre o nivel remuneratório 11 e 12 da tabela remuneratória única dos trabalhadores que exercem funções públicas. DMAEVCE - Em 2020/09/01, Susana Isabel Rocha Ribeiro foi autorizado o regresso de licença sem remuneração - Por despacho de 16 de março de 2020 do Senhor Vice-residente, Eng.º João Paulo Saraiva, na carreira/ /categoria de tecnico superior (Biologia), com a remuneração mensal ilíquida de 1377.24 euros, correspondente ao posicionamento enter a 2.ª e 3.ª posição remuneratória da categoria de técnio superior e entre o nivel remuneratório 15 e 19 da tabela remuneratória única dos trabalhadores que exercem funções públicas.",,Direção Municipaç,Recursos humanos; departamento de gestão de recursos humanos; divisão de planeamento e gestão de recursos humanos; núcleo de contratação,2020/09/01; 2020/07/10; 2020/03/16,,,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Despacho n.º 2/CGIUL/2020,Substituição em período de férias,"Considerando que me encontro de férias nos dias 23 e 26 de outubro de 2020; Considerando, também a necessidade de asseguar a regulardiade do exercício de funções e competéncias do Centro de Gestão e Inteligéncia Urbana de Lisbao, durante a minha ausência. Designo, nos termos do artigo 42.º do Código de Procedimento Administrativo, aprovado pelo Decreto-Lei n.º 4/0215, de 7 de janeiro, para me substituir, nos dias 23 e 26 de outubro, a técnica superior, Arq.º Maria Isabel Amaral Fernandes Sequeira Teles. Lisboa, em 2020/10/19. O diretor de departamento (a) João Tremoceiro",,Direção Municipaç,Centro de gestão e inteligência urbana de lisboa,2020/10/23; 2020/10/26; 2020/10/19,Lisboa,Decreto-Lei n.º 4/2015,,João Tremoceiro,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Atribuição de numeração de polícia,,"1278/DOC - Joana dos Santos Lucas Rodrigues Soares. Ao prédio  Obra n.º 114, foi atribuído mais o n.º 112, ficando o prédio com os n.ºs 1 e 2, com acesso pelo n.º 112 (não oficial) da Rua Gualdim Pais, já não existe devido à sua demolição. 1849/DOC - Uhub Investiments, S. A. - Ao prédio - Obra n.º 68 309 - situado na Avenida do Colégio Militar, lote 1690, foram atribuídos os n. ºs 14-A, 14-B, 14 e 14-C, nesta Avenida e o n.º 7na Rua Julião Quintinha.",,Direção Municipaç,Deferidos; urbanismo; divisão de saneamento liminar e apoio ao licenciamento,22 outubro 2020,"Rua Gualdim Pais, n.º 114; Rua Gualdim Pais, n.º 112; Avendia do Colégio Militar, n.º 14-A; Avendia do Colégio Militar, n.º 14-B; Avendia do Colégio Militar, n.º 14; Avendia do Colégio Militar, n.º 14-C; Rua Julião Quintinha, n.º 7   ",,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Processos deferidos,,"Por despacho do diretor de departamento, Eng.º Miguel Fernandes: Ramal de ligação de saneamento (Planta de ponto de ligação) 4297/CML . Dinarica - Sociedade Imobiliaria, S. A. - Nos temos do despacho à margem do e-mail. 5255/CML - Dimensão Principal, Ltd.ª. - Nos termos do despacho à margem do e-mail. 5195/CML - Pedro Duarte. - Nos termos do despacho à margem do e-mail. 5158/CML Luís Avelino Lourenço Castro. Nos termos do despacho à margem do e-mail. 5146/CML - LIsboa Ocidental, SRU, E.M., S.A. - Nos termos do despacho à margem do e-mail. 4524/CML - Campo D'Água  Engenharia e Gestão, Ltd.ª. - Nos termos do despacho à margem do e-mail. Ramal de ligação de saneamento (Planta de cadastro) 5285/CML - Maia e Pereia, S.A. - Nos termos do despacho à margem do e-mail. 5279/CML - Concexpla Engenharia, Ltd.ª. - Nos termos do despacho à margem do e-mail. 5212/CML - Câmara Municipal de Lisboa (DMU-DEP-DGEP) - Nos termos do despacho à margem do e-mail. 5200/CML - Saint  Léger, Unipessoal, Ltd.ª. - Nos termos do despacho à margem do e-mail. 4908/CML - Hugo André Meira da Cruz Lavaredas. - Nos termos do despacho à margem do e-mail. 4869/CML - Limiasur-Investimentos Imobiliários e Turísticos. - Nos termos do despacho à margem do e-mail. 4858/CML Pr+incipe Real Fundo de Reabilitação Urbana - FEIIF - Nos termos do despacho à margem do e-mail. 4842/CML - Filipa Mafalda Amaral Gomes de Brito Franco. - Nos termos do despacho à margem do e-mail. 4759/CML - IPOBI, Lisboa, S. A. - Nos termos do despacho à margem do e-mail. 4674/CML - Francisco Eduardo Contente Calhau. - Nos termos do despacho à margem do e-mail. 4577/CML - Cosima Edmes Marie Elisabeth Weiller. - Nos termos do despacho à margem do e-mail. 4520/CML  Campo D'Água . Engenharia e Gestão, Ltd.ª. - Nos termos do despacho à margem do e-mail.",,Direção Municipaç,Manutenção e conservação; departamento de seneamento,,,,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de consignação dos trabalhos,,"Por despacho do diretor do Departamento de Habitação Municipal, Arq.º Manuel Abílio Ferreira: Por despacho de 2020/10/14, foi homologado o Auto de consignação dos trabalhos da «Empreitada n.º 13/DMMC/DHM/DIH/2020 . Substituição de coberturas em fibrocimento e reabilitação das fachadas nas instalações da Polícia Municipal», adjudicada à firma Castling, Ltd.ª.",,Direção Municipaç,Manutenção e conservação; departamento de habitação municipal; divisão de intervenção em habitação,10/14/2020,,,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de receção provisória parcial dos trabalhos,,"Por despacho do diretor do Departamento de Habitação Municipal, Arq.º Manuel Abílio Ferreira: Por despacho de 2020/10/14, foi homologado o Auto de receção provisória parcial dos trabalhos referentes à Requisição n.º  4 (Vila Romão) da «Empreitada n.º 79/DMCC/DHM/DIG/2018 - Empreitada para a execução de obras prioritárias e urgentes de conservação e manutenção em património habitacional disperso do Município de Lisboa (Lote 1 - Zona exterior)», adjudicada à firma Santos & Cipriano - Construções Civis e Obras Públicas, Ltd.ª.",,Direção Municipaç,Manutenção e conservação; departamento de habitação municipal; divisão de intervenção em habitação,10/14/2020,,,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de receção provisória parcial - final dos trabalhos,,"Por despacho do diretor do Departamento de Habitação Municipal, Arq.º Manuel Abílio Ferreira: Por despacho de 2020/10/09, foi homologado o Auto de receção provisória parcial - final dos trabalhos da «EMpreitada n.º 9/DMMC/DHM/DIH/2019 - Reabilitação do predio municipal, sito na Rua das Flores de Santa Cruz, 11 a 19 incluindo 2 fogos vagos», adjudicada à firma Sorecon, Ltd.ª.",,Direção Municipaç,Manutenção e conservação; departamento de habitação municipal; divisão de intervenção em habitação,10/9/2020,"Rua das Flores de Santa Cruz, 11 a 19",,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Autos de receção para libertação de caução parcial dos trabalhos,,"Por despacho do diretor do Departamento de Habitação Municipal, Arq.º Manuel Abílio Ferreira: Por despacho de 2020/10/09, foi homologado o Auto de receção para libertação de caução parcial de trabalhos da «Empreitada n.º 11/DMPO/DHMEM/DCH/2018 - Obras de beneficiação geral no edifício municipal, sito na Travessa do Moinho de Vento, 21, bem como nas 3 frações devolutas do mesmo», adjudicada à firma Socodefil - Sociedade de Construções Manuel Delgado & FIlhos, Ltd.ª. Por despacho de 2020/10/14, foi homologado o Auto de receção para libertação de caução parcial de trabalhos da «Empreitada n.º 18/DMP/DHMEM/DCH/2018 - Obras de reabilitação de coberturas e fachadas dos edificios municipais, sitos na Travessa Conde Soure, 40/44 (incluindo 2 fogos agos) e Rua Poço dos Negros, 14 (incluindo 1 fogo vago)», adjudicada à firma Ramiro & Delgado - Construções Civis e Obras Públicas, Ltd.ª. Por despacho de 2020/10/14, foi homologado o Auto de receção para libertação de caução parcial de trabalhos de «Empreitada n.º 28/DMPPO/DHMEM/DMEM/2018 - Recuperação de 8 fogos mnicipais devolutos nos Bairros do Alto da Faia, Telheiras Norte e Sul, Freguesias do Lumiar e Alvalade» adjudicada à firma Santomargo - Construções, Ltd.ª.",,Direção Municipaç,Manutenção e conservação; departamento de habitação municipal; divisão de intervenção em habitação,2020/10/09; 2020/10/14; 2020/10/14,"Travessa do Moinho de Vento, 21; Travessa Conde Soure, 40/44; Rua Poço dos Negros, 14; Bairo do Alto da Faia; Bairro Telheiras Norte e Sul, Freguesia do Lumiar; Freguesia de Alvalade",,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de receção para libertação de caução parcial - 1 dos trabalhos,,"Por despacho do diretor do Departamento de Habitação Municipal, Arq.º Manuel Abílio Ferreira: Por despacho de 2020/10/14, foi homologado o Auto de receção para libertação de caução parcial - 1 de trablhos da «Empreitada n.º 22/DMPO/DHMEM/DMEM/2017 - Obras de conservação na cobertura e fachadas exteriores do Palacio da Mitra, sito na Rua do Açúcar», adjudicada à firma Construtora Vila Franca, Ltd.ª.",,Direção Municipaç,Manutenção e conservação; departamento de habitação municipal; divisão de intervenção em habitação,10/14/2020,"O Palácio da Mitra, Rua do Açúcar",,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
